FID,Funding_Pool_Name,Funding_Pool_Closing_Date,Financial_Year,Organisation_Name,Project_Event_Title,Confirmed_umbrella_organisation__Account_Name,Where_will_it_take_place_,Where_will_it_take_place__1,Venue,Project_Start_Date,Project_End_Date,Event_start_date,Event_end_date,Target_age_group,Target_age_group_1,Target_Population,Other_Specific_Group,Active_participants,Attendees,Physical_access,Financial_access,Total_Project_Cost,Other_Income_Your_Contribution,Difference,Amount_requested,Granted_Total_Amount,Final_Decision,Status,Outcome_1,Outcome_2,Outcome_3,Outcome_4,Outcome_5,Outcome_6,Outcome_7,Outcome_8,Outcome_9,Outcome_10,Link_to_website_for_your_project_event
1363,General Grants,2012-10-30T12:00:00.000Z,2012,Innermost Gardens Inc,Bowling Green Regeneration Project,-,-,Mt Victoria,-,1/14/2013 12:00:00 AM,10/30/2013 12:00:00 AM,-,-,-,-,Wider community,-,-,-,-,-,13250,0,13250,13250,8500,Approved,Complete,1)Stage 1 Landscaping – To establish the foundation for each garden project,(2)Stage 2 Bioremediation – To introduce a biodiverse native wetland to accelerate DDT detoxification and provide an environment for native flora and fauna.,"(3)Stage 1 Food Forest and Hedgerow– An urban production oasis, to demonstrate the potential for small unused urban spaces",(4) Community engagement – To deliver a series of community events for people to meet and engage in postivie community projects,"(5) Educational outcomes – To deliver a series of community learning events, through project implementation, and material that leverages the garden projects for workshops and courses.",-,-,-,-,-,-
1364,Joe Aspell Funding,2014-10-30T12:00:00.000Z,2014,Skylight - The Children's Grief Centre Charitable Trust,Sharing The Journey Groups,-,-,Newtown,-,4/7/2015 12:00:00 AM,4/17/2015 12:00:00 AM,10/28/2014 12:00:00 AM,10/28/2014 12:00:00 AM,-,Children,All,-,-,-,-,-,2155,0,2155,2155,2155,Approved,Complete,Connect with others,Understanding mental health and addiction issues,Being resilient from the inside,-,-,-,-,-,-,-,www.skylight.org.nz
1365,General Grants,2013-03-30T12:00:00.000Z,2012,Show Me Shorts Film Festival Trust Board,Show Me Shorts Film Festival,-,-,Wellington Central,-,11/14/2013 12:00:00 AM,11/24/2013 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,27712.08,5500.55,22211.53,22211.53,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1366,General Grants,2012-08-30T12:00:00.000Z,2012,Island Bay Softball Club Inc,Coaching Clinics,-,-,"Berhampore; Brooklyn; Island Bay - Owhiro Bay; Newtown",-,10/7/2012 12:00:00 AM,2/28/2013 12:00:00 AM,-,-,-,Children,All,-,-,-,-,-,3240,0,3240,3240,2000,Approved,Complete,Have our Clinics run by experts,Improve our children's ability in the sport and have happier players,Get more parent involvement,Assessibilty to expertise skills/advice for coaches,-,-,-,-,-,-,-
1367,Social And Recreation Fund,2015-07-13T12:00:00.000Z,2015,Island Bay Softball Club Inc,Pitching & Coaching Clinics,-,-,"Berhampore; Island Bay - Owhiro Bay",-,7/18/2015 12:00:00 AM,1/23/2016 12:00:00 AM,6/20/2015 12:00:00 AM,6/20/2015 12:00:00 AM,-,Children,All,-,-,-,Clearly visible signage,"Free to all; Koha/donation",5255,250,5005,4496,4307,Approved,Monitoring,"Increase participation in the sport from young people, report on numbers participating in the programme over the year, noting total participants with some demographic information (eg age ranges, ethnicity, etc)",Club growth- developing a sustainable plan for how this programme can be supported from club and other funds,Support Maori and Pasifika in the community- describe how you do this and what you see as success,"Provide low cost or free sessions for young people, which are promoted widely in the community. Describe how you did this",-,-,-,-,-,-,-
1368,Arts And Culture Fund,2015-07-06T12:00:00.000Z,2015,Show Pony - Venera Euphemia Limited T/A,Dead Men's Wars,-,-,Wellington Central,BATS Theatre,8/4/2015 12:00:00 AM,12/31/2015 12:00:00 AM,10/23/2015 12:00:00 AM,10/31/2015 12:00:00 AM,-,Young people,All,Military-related audience: past and present defence force members and their relatives,-,-,"Wheelchair accessible toilet; Wheelchair access to main entrance",User pays,55820,52889.6,2930.4,2900,2900,Approved,Monitoring,To have over 50% audience attendance over the BATS season,To keep 3 industry professionals in employment,To have over 3 published reviews in favour of the production,-,-,-,-,-,-,-,http://www.eventfinder.co.nz/2015/dead-mens-wars/wellington
1369,Built Heritage Incentive Fund,2013-03-30T12:00:00.000Z,2012,ISS Facility Services,British High Commission - Homewood Residence - Seismic Strengthening,-,-,Karori,-,3/11/2013 12:00:00 AM,6/28/2013 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,58500,0,58500,35500,10000,Approved,Complete,Enhance the life safety & property resilience to a seismic event.,Preserve the hertitage integrity of the property,Entend the life expectancy of the property,-,-,-,-,-,-,-,-
1370,Arts And Culture Fund,2014-03-30T12:00:00.000Z,2013,Show Pony - Venera Euphemia Limited T/A,All Your Wants and Needs Fulfilled Forever,-,-,Wellington Central,We have a confirmed season at BATS Theatre from 20-31 May 2014.,4/29/2014 12:00:00 AM,7/15/2014 12:00:00 AM,-,-,-,-,-,-,-,-,Clearly visible signage,User pays,49667,45667,4000,4000,4000,Approved,Complete,To achieve minimum 40% paid audience attendance,To gain at least one new presentation opportunity for the work to tour to in 2015,To keep at least 13 arts practitioners in paid employment,To get at least 4 positive published reviews,-,-,-,-,-,-,-
1371,C H Izard Bequest,2015-03-22T12:00:00.000Z,2014,Skylight - The Children's Grief Centre Charitable Trust,Thumbs Up 2015,-,-,All of Wellington City,-,10/8/2015 12:00:00 AM,10/9/2015 12:00:00 AM,3/2/2015 12:00:00 AM,3/2/2015 12:00:00 AM,-,Children,All,Children with Dyslexia and other learning difficulties,-,-,-,-,4805,270,4535,4535,4500,Approved,Complete,"Normalise the ""having a learning difficulty"" experience",Build self-esteem,Teach strategies to cope with tough times,Increase ratings on outcome measure scale from first day to the last day,-,-,-,-,-,-,www.skylight.org.nz
1372,Arts And Culture Fund,2015-10-26T12:00:00.000Z,2015,Show Pony - Venera Euphemia Limited T/A,Layman,-,-,Wellington Central,Our location for Layman is still to be confirmed. At the time of this funding application we have been in discussions with the NZ Fringe about performing the work in the James Smith's carpark. James Smith carpark have a history of holding arts events in ...,12/14/2015 12:00:00 AM,4/30/2016 12:00:00 AM,2/25/2015 12:00:00 AM,2/29/2016 12:00:00 AM,-,-,All,-,-,-,Clearly visible signage,"Community Service/Gold card discount; User pays",6500,4255,2245,2245,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,www.showponynz.com
1373,Creative Communities Local Funding Scheme,2016-08-30T12:00:00.000Z,2016,Jake Stokes,Recording project for Onslow College music students,-,-,"Johnsonville; Khandallah - Kaiwharawhara",Onslow College,1/3/2017 12:00:00 AM,2/28/2017 12:00:00 AM,1/3/2017 12:00:00 AM,2/28/2017 12:00:00 AM,-,Young people,-,-,27,27,-,-,5000,0,5000,5000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1374,Built Heritage Incentive Fund,2013-03-30T12:00:00.000Z,2012,James Dykes,Earthquake strengthening,-,-,Te Aro,-,1/1/2015 12:00:00 AM,12/31/2015 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,1594.1,0,1594.1,1594.1,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1375,Arts And Culture Fund,2014-07-30T12:00:00.000Z,2014,Show Pony - Venera Euphemia Limited T/A,White Elephant,-,-,Wellington Central,James Cabaret,10/1/2014 12:00:00 AM,1/31/2015 12:00:00 AM,7/29/2014 12:00:00 AM,7/29/2014 12:00:00 AM,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",User pays,73381.38,68736,4645.38,4645.38,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1376,Creative Communities Local Funding Scheme (Legacy),2013-08-30T12:00:00.000Z,2013,James Nokise,The Libation Lounge,-,-,Wellington Central,"Understudy at BATS Theatre, Dixon St.",12/9/2013 12:00:00 AM,3/1/2014 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,3900,1900,2000,2000,2000,Approved,Monitoring,Facilitation of emerging and established artist networks,A entertaining showcase of diverse festival events happening in Wellington,Support for artists by encouraging audiences to go to their shows,-,-,-,-,-,-,-,-
1377,Creative Communities Local Funding Scheme (Legacy),2013-02-27T12:00:00.000Z,2012,Simon Gray,City Scrabble,-,-,All of Wellington City,-,4/1/2013 12:00:00 AM,8/1/2013 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,2800,450,2350,2350,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1378,Arts And Culture Fund,2014-10-20T12:00:00.000Z,2014,Jandals Inc,Measina Festival 2015,-,-,Wellington Central,Whitireia Performance Centre,3/16/2015 12:00:00 AM,6/3/2015 12:00:00 AM,5/25/2015 12:00:00 AM,6/1/2015 12:00:00 AM,-,All,Pacific Island,-,-,-,"Clearly visible signage; Wheelchair access to main entrance",User pays,27041.25,19582.5,7458.75,7458.75,3000,Approved,Complete,75% average houses over the festival season,90% of young people report being engaged during the Youth Night event,Reputation and knowledge of the festival increases in the Community,-,-,-,-,-,-,-,thetheatre.co.nz
1379,,,,,,,,,Vivian Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380,Arts And Culture Fund,2015-07-06T12:00:00.000Z,2015,Jandals Inc,IMPACT,-,-,Wellington Central,Whitireia Performance Centre,2/20/2016 12:00:00 AM,3/27/2016 12:00:00 AM,2/20/2016 12:00:00 AM,3/27/2016 12:00:00 AM,-,All,Pacific Island,Emerging Practitioners,-,-,-,Free to all,16560,11760,4800,4800,3000,Approved,Monitoring,Create a 50min-90min Dance Theatre piece,Develop a tour of Wellington Church and School communities,-,-,-,-,-,-,-,-,-
1381,Arts And Culture Fund,2014-03-30T12:00:00.000Z,2013,Jandals Inc,Fa'avaei le atua,-,-,All of Wellington City,Various secondary schools in the area,4/21/2014 12:00:00 AM,8/8/2014 12:00:00 AM,-,-,-,Young people,Pacific Island,-,-,-,-,User pays,25300,19750,5550,5550,2500,Approved,Complete,Continue to establish Jandals Inc in the Wellington area,Audience participants report being engaged by the performance,Create a performance platform for Wellington based Pacific Island and Maori practitioners,Developing audience potential in our young people,-,-,-,-,-,-,-
1382,Joe Aspell Funding,2015-10-30T12:00:00.000Z,2015,InOvation,InOvation Entrepreneurship for YOUTH,-,-,All of Wellington City,-,1/1/2016 12:00:00 AM,6/1/2016 12:00:00 AM,11/3/2015 12:00:00 AM,11/3/2015 12:00:00 AM,-,Young people,All,-,-,-,-,-,10000,5000,5000,5000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1383,Creative Communities Local Funding Scheme (Legacy),2013-02-27T12:00:00.000Z,2012,Jandals Inc,Romeo and Tusi,-,-,Wellington Central,-,5/30/2013 12:00:00 AM,6/1/2013 12:00:00 AM,-,-,-,Young people,-,-,-,-,-,-,5850,3240,2610,2610,2500,Approved,Complete,"Use the performance as a platform to advertise the show, with the intent to tour the North Island",Engage with 50% or more of the Rangatahi that will be engaged with Sheilah Winn Festival,70% or more audience members per show,-,-,-,-,-,-,-,-
1384,Betty Campbell Accommodation Assistance (Rental),2018-05-30T12:00:00.000Z,2018,InsideOUT Koāro,Office & meeting space for InsideOUT - Year 3 of 3 2018/19,-,-,-,-,8/1/2016 12:00:00 AM,8/1/2019 12:00:00 AM,8/9/2016 12:00:00 AM,8/9/2016 12:00:00 AM,-,-,-,-,-,-,-,-,11000,0,11000,3300,3300,Approved,For Funding Agreement Acceptance,Create a sense of community and identity allowing the organisation to grow and expand.,Work closely and collaborate with other organisations creating lasting working relationships,Develop camaraderie and cohesive working relationships amongst staff,"Provide a central, accessible location for rainbow groups to meet, allowing young people from the community to use our space as appropriate. For a long time Wellington has been lacking a central hub for the rainbow community.",Strengthen our organisation and increase our capability and efficiency.,-,-,-,-,-,-
1385,Arts And Culture Fund,2015-10-26T12:00:00.000Z,2015,Jandals Inc Productions Ltd,Measina Festival 2015,-,-,Wellington Central,Whitireia Performance Centre,12/14/2015 12:00:00 AM,6/1/2016 12:00:00 AM,5/23/2016 12:00:00 AM,5/29/2016 12:00:00 AM,-,All,Pacific Island,-,-,-,"Clearly visible signage; Wheelchair access to main entrance",User pays,24495,18400,6095,6095,3000,Approved,Monitoring,50% average houses over the festival season,"Pacific performance, culture and language is accessible to Pacific and general audiences as evidenced by reviews and anecdotal feedback",At least 3 local Pacific performance groups take part in the feastival,-,-,-,-,-,-,-,measinafestival.com
1386,,,,,,,,,Vivian Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,Betty Campbell Accommodation Assistance (Rental),2016-06-29T12:00:00.000Z,2016,InsideOUT Koāro,Office & meeting space for InsideOUT - Year 1 of 3 2016/17,-,-,-,-,8/1/2016 12:00:00 AM,8/1/2019 12:00:00 AM,6/29/2016 12:00:00 AM,6/29/2016 12:00:00 AM,-,-,-,-,-,-,-,-,11000,0,11000,3300,3300,Approved,For Funding Agreement Acceptance,Create a sense of community and identity allowing the organisation to grow and expand.,Work closely and collaborate with other organisations creating lasting working relationships,Develop camaraderie and cohesive working relationships amongst staff,"Provide a central, accessible location for rainbow groups to meet, allowing young people from the community to use our space as appropriate. For a long time Wellington has been lacking a central hub for the rainbow community.",Strengthen our organisation and increase our capability and efficiency.,-,-,-,-,-,-
1388,Arts And Culture Fund,2017-03-30T12:00:00.000Z,2016,Japan Society of Wellington New Zealand Inc,Photo Exhibition and Seminar - Japanese Immigrants' Experiences in New Zealand,-,-,Wellington Central,Wellington City Library,6/1/2017 12:00:00 AM,11/30/2017 12:00:00 AM,10/23/2017 12:00:00 AM,11/30/2017 12:00:00 AM,-,All,-,Asian and Japanese immigrants,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,2939,2000,939,939,900,Approved,Monitoring,3000 people see the exhibition,120 people fill in questionnaire,50 people attend the seminar,"Media publicizes the event (newspapers, digital media)",-,-,-,-,-,-,-
1389,Betty Campbell Accommodation Assistance (Rental),2017-06-29T12:00:00.000Z,2017,InsideOUT Koāro,Office & meeting space for InsideOUT - Year 2 of 3 2017/18,-,-,-,-,8/1/2016 12:00:00 AM,8/1/2019 12:00:00 AM,6/29/2016 12:00:00 AM,6/29/2016 12:00:00 AM,-,-,-,-,-,-,-,-,11000,0,11000,3300,3300,Approved,For Funding Agreement Acceptance,Create a sense of community and identity allowing the organisation to grow and expand.,Work closely and collaborate with other organisations creating lasting working relationships,Develop camaraderie and cohesive working relationships amongst staff,"Provide a central, accessible location for rainbow groups to meet, allowing young people from the community to use our space as appropriate. For a long time Wellington has been lacking a central hub for the rainbow community.",Strengthen our organisation and increase our capability and efficiency.,-,-,-,-,-,-
1390,Social And Recreation Fund,2015-07-13T12:00:00.000Z,2015,InsideOUT Koāro,InsideOUT Regional Schools Coordinator,-,-,All of Wellington City,-,8/17/2015 12:00:00 AM,8/15/2016 12:00:00 AM,6/30/2015 12:00:00 AM,6/30/2015 12:00:00 AM,-,Young people,All,"lesbian, gay, bisexual, transgender, queer, intersex young people",-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,12220,0,12220,12220,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
1391,Arts And Culture Fund,2015-10-26T12:00:00.000Z,2015,Japan Society of Wellington New Zealand Inc,Japanese immigrants’ experiences in New Zealand - Photograph exhibition,-,-,Wellington Central,"Japan Festival 2016 at Vector Arena, Wellington CBD",12/1/2015 12:00:00 AM,10/31/2016 12:00:00 AM,11/27/2016 12:00:00 AM,11/27/2016 12:00:00 AM,-,All,All,Japanese residents and visitors in Welllington and people interested in Japan,-,-,"Clearly visible signage; Hearing loop/digital listener; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,14260,10260,4000,4000,3000,Approved,Complete,"1) At least 50% of people coming to Japan Festival saw the exhibition, e.g. 5000 people out of 10,000 attending the festival","2) At least 300 people voted for the best photo, with prizes",3) At least 200 people see the exhibition at Minoh House,4) Newspapers write about my exhibition,5) Further funding is obtained to show the exhibition elsewhere,-,-,-,-,-,-
